0.0,0.475,0.287252,0.489363
0.0,0.5,0.303373,0.499374
0.0,0.525,0.298162,0.510092
0.0,0.6,0.328614,0.534277
0.0,0.625,0.325139,0.543715
0.0,0.65,0.301202,0.55964
0.0,0.675,0.324722,0.561348
0.0,0.7,0.342792,0.562884
0.0,0.725,0.330653,0.576207
0.0,0.75,0.343672,0.578165
0.0,0.775,0.346855,0.58423
0.0,0.8,0.350127,0.589924
0.0,0.825,0.353457,0.595254
0.0,0.85,0.347866,0.606495
0.0,0.875,0.355807,0.608146
0.0,0.9,0.35499,0.616009
0.0,0.925,0.350182,0.627347
0.025,0.45,0.320748,0.481131
0.025,0.475,0.309098,0.489952
0.025,0.5,0.303373,0.499374
0.025,0.525,0.303644,0.510335
0.025,0.55,0.320748,0.518869
0.025,0.6,0.339658,0.533756
0.025,0.625,0.272872,0.559771
0.025,0.65,0.291666,0.56579
0.025,0.675,0.346246,0.556646
0.025,0.7,0.333882,0.569945
0.025,0.725,0.342044,0.574821
0.025,0.75,0.350167,0.57886
0.025,0.775,0.362921,0.579362
0.025,0.8,0.366079,0.584582
0.025,0.825,0.360261,0.595612
0.025,0.85,0.36369,0.60044
0.025,0.9,0.357953,0.619619
0.025,0.925,0.353465,0.631111
0.025,0.95,0.357258,0.635231
0.05,0.4,0.308054,0.457345
0.05,0.425,0.311435,0.468572
0.05,0.45,0.331717,0.481302
0.05,0.475,0.320035,0.490002
0.05,0.5,0.286987,0.499321
0.05,0.525,0.281861,0.512119
0.05,0.55,0.32086,0.519905
0.05,0.575,0.316823,0.53053
0.05,0.6,0.350709,0.533176
0.05,0.625,0.257919,0.567245
0.05,0.65,0.354915,0.548362
0.05,0.675,0.311651,0.573247
0.05,0.7,0.350266,0.566549
0.05,0.725,0.353442,0.573279
0.05,0.75,0.366313,0.574271
0.05,0.775,0.369505,0.579747
0.05,0.8,0.359119,0.593921
0.05,0.825,0.362737,0.599135
0.05,0.85,0.357726,0.610659
0.05,0.925,0.35705,0.63501
0.05,0.95,0.360964,0.639038
0.075,0.375,0.348042,0.455306
0.075,0.4,0.335182,0.461219
0.075,0.425,0.344015,0.472473
0.075,0.45,0.320992,0.47894
0.075,0.5,0.297911,0.499356
0.075,0.6,0.351133,0.535028
0.075,0.625,0.353282,0.543153
0.075,0.65,0.360936,0.549081
0.075,0.675,0.353536,0.560309
0.075,0.7,0.361624,0.565119
0.075,0.725,0.369667,0.569
0.075,0.75,0.358767,0.583079
0.075,0.775,0.362431,0.589016
0.075,0.8,0.352748,0.603943
0.075,0.825,0.352485,0.612807
0.075,0.85,0.352434,0.621526
0.075,0.925,0.322342,0.677659
0.075,0.95,0.331239,0.67869
0.075,0.975,0.314261,0.707593
0.075,1.0,0.340819,0.687274
0.1,0.375,0.354029,0.454384
0.1,0.4,0.351633,0.462908
0.1,0.45,0.331989,0.478999
0.1,0.6,0.36753,0.533118
0.1,0.625,0.359242,0.543987
0.1,0.65,0.367033,0.549863
0.1,0.675,0.364893,0.559109
0.1,0.7,0.372983,0.563509
0.1,0.725,0.376228,0.569622
0.1,0.75,0.374945,0.57816
0.1,0.775,0.369476,0.589736
0.1,0.8,0.373284,0.595037
0.1,0.95,0.340339,0.67962
0.1,0.975,0.331128,0.700538
0.1,1.0,0.353284,0.683397
0.125,0.375,0.365278,0.455093
0.125,0.4,0.357508,0.462002
0.125,0.425,0.33397,0.466794
0.125,0.575,0.376816,0.524637
0.125,0.6,0.368063,0.535183
0.125,0.625,0.37046,0.54318
0.125,0.65,0.368148,0.552741
0.125,0.675,0.376263,0.557744
0.125,0.7,0.389156,0.559117
0.125,0.725,0.378228,0.573063
0.125,0.75,0.368208,0.587862
0.125,0.775,0.367865,0.596899
0.125,0.8,0.367785,0.605773
0.125,0.975,0.340933,0.701487
0.125,1.0,0.365638,0.679151
0.15,0.375,0.376551,0.455911
0.15,0.4,0.300434,0.442981
0.15,0.425,0.297055,0.456512
0.15,0.55,0.359418,0.520083
0.15,0.575,0.366484,0.528611
0.15,0.6,0.368707,0.537512
0.15,0.625,0.376551,0.544089
0.15,0.65,0.384534,0.549486
0.15,0.675,0.387639,0.556181
0.15,0.7,0.386186,0.565037
0.15,0.725,0.389734,0.570886
0.15,0.75,0.379998,0.585716
0.15,0.775,0.384041,0.591111
0.15,0.8,0.375591,0.606637
0.15,0.95,0.339044,0.706946
0.15,0.975,0.344482,0.711063
0.15,1.0,0.362185,0.696881
0.175,0.375,0.38275,0.454904
0.175,0.4,0.374711,0.46145
0.175,0.425,0.303085,0.454558
0.175,0.45,0.370439,0.480067
0.175,0.55,0.375837,0.519102
0.175,0.575,0.372272,0.529476
0.175,0.6,0.385152,0.535338
0.175,0.625,0.392946,0.541175
0.175,0.65,0.395857,0.548066
0.175,0.675,0.39901,0.554379
0.175,0.7,0.38836,0.568702
0.175,0.725,0.387732,0.577724
